ticker,price,previous_close,gap_percent,avg_daily_volume,premarket_volume,dollar_volume,atr,atr_percent,market_cap,fetch_time,pm_vol_ratio_score,atr_percent_score,dollar_vol_score,pm_vol_abs_score,price_atr_bonus,gap_magnitude_score,interest_score,rank,scan_time,ticker_list
TSLA,309.74,308.27,0.4768547052908254,74982679.1764706,1384546.0,22692008199.175297,13.424143539211352,4.435827095532945,,2025-08-04 11:44:40.340936+00:00,1.8464877691839898,4.435827095532945,100.0,100.0,100.0,0.0,36.85,1,2025-08-04 11:44:40.340936+00:00,sp500
AMZN,217.32,234.11,-7.171842296356422,35678925.294117644,930977.0,7662049206.911764,5.904494812142673,2.7494737192748184,,2025-08-04 11:44:40.340936+00:00,2.609319065318062,2.7494737192748184,100.0,99.48232363770386,100.0,0.0,36.68,2,2025-08-04 11:44:40.340936+00:00,sp500
AMD,175.21,176.31,-0.6239010833191505,45811441.52941176,799812.0,7865824510.599999,7.099917981488038,4.135071625793849,,2025-08-04 11:44:40.340936+00:00,1.7458782638099402,4.135071625793849,100.0,98.38314097983712,100.0,0.0,36.57,3,2025-08-04 11:44:40.340936+00:00,sp500
NVDA,175.64,177.87,-1.2537246303480172,122492988.0,1966740.0,21279481875.36,4.258882860012634,2.451578897083027,,2025-08-04 11:44:40.340936+00:00,1.605593946324503,2.451578897083027,100.0,100.0,100.0,0.0,36.26,4,2025-08-04 11:44:40.340936+00:00,sp500
PLTR,157.52,158.35,-0.5241553520681933,38629012.823529415,606684.0,5959297808.285883,4.9794795288295015,3.227769189621768,,2025-08-04 11:44:40.340936+00:00,1.5705397463081459,3.227769189621768,100.0,96.3827209558484,100.0,0.0,36.07,5,2025-08-04 11:44:40.340936+00:00,sp500
INTC,19.52,19.8,-1.4141414141414197,68314403.23529412,512401.0,1319151126.4735293,0.7735442739904839,4.00592581041162,,2025-08-04 11:44:40.340936+00:00,0.7500629087472902,4.00592581041162,100.0,95.16018027013055,100.0,0.0,35.82,6,2025-08-04 11:44:40.340936+00:00,sp500
