ticker,price,previous_close,gap_percent,avg_daily_volume,premarket_volume,dollar_volume,atr,atr_percent,market_cap,fetch_time,pm_vol_ratio_score,atr_percent_score,dollar_vol_score,pm_vol_abs_score,price_atr_bonus,gap_magnitude_score,interest_score,rank,scan_time,ticker_list
SMCI,59.7774,60.05,-0.45395503746877114,24812852.15,38802896.0,1504775418.63675,2.742707097825984,4.5225609659922235,,2025-07-29 16:18:49.258731+00:00,100.0,4.5225609659922235,100.0,100.0,100.0,0.0,76.13,1,2025-07-29 16:18:49.258731+00:00,sp500
SWK,67.72,73.93,-8.399837684295965,1329536.45,2595412.0,91146371.32975,2.76856313870292,4.038455457228386,,2025-07-29 16:18:49.258731+00:00,100.0,4.038455457228386,100.0,100.0,100.0,0.0,76.01,2,2025-07-29 16:18:49.258731+00:00,sp500
ETSY,60.22,62.75,-4.031872509960161,3140241.75,3985488.0,193250477.295,2.313045999990917,3.7586057848406194,,2025-07-29 16:18:49.258731+00:00,100.0,3.7586057848406194,100.0,100.0,100.0,0.0,75.94,3,2025-07-29 16:18:49.258731+00:00,sp500
PYPL,70.93,78.22,-9.319867041677309,7602807.95,26130675.0,547250116.241,2.4946471782118693,3.4657504559764782,,2025-07-29 16:18:49.258731+00:00,100.0,3.4657504559764782,100.0,100.0,100.0,0.0,75.87,4,2025-07-29 16:18:49.258731+00:00,sp500
ODFL,161.81,164.32,-1.5275073028237531,913500.7,972008.0,149530929.583,5.82425713248417,3.5581019808688192,,2025-07-29 16:18:49.258731+00:00,100.0,3.5581019808688192,100.0,99.79450476921436,100.0,0.0,75.87,5,2025-07-29 16:18:49.258731+00:00,sp500
NUE,137.455,144.52,-4.888596734016051,1118733.2,2182691.0,152337899.84399998,4.747787645278693,3.4866619999109156,,2025-07-29 16:18:49.258731+00:00,100.0,3.4866619999109156,100.0,100.0,100.0,0.0,75.87,6,2025-07-29 16:18:49.258731+00:00,sp500
UNH,267.67,282.12,-5.1219339288246095,9896836.1,25865219.0,2687188937.8719997,9.104598870385766,3.3531964018804388,,2025-07-29 16:18:49.258731+00:00,100.0,3.3531964018804388,100.0,100.0,100.0,0.0,75.84,7,2025-07-29 16:18:49.258731+00:00,sp500
AMD,178.1996,173.66,2.6140734769089065,36824676.3,69792314.0,6621098893.545779,5.80273428282607,3.227316417646031,,2025-07-29 16:18:49.258731+00:00,100.0,3.227316417646031,100.0,100.0,100.0,0.0,75.81,8,2025-07-29 16:18:49.258731+00:00,sp500
CARR,71.08,80.18,-11.349463706660025,2842305.6,6237989.0,205015502.928,2.3387574827308484,3.242419912284553,,2025-07-29 16:18:49.258731+00:00,100.0,3.242419912284553,100.0,100.0,100.0,0.0,75.81,9,2025-07-29 16:18:49.258731+00:00,sp500
CDNS,363.7,333.76,8.97051773729626,1133612.8,2462558.0,416030229.536,11.691506473932055,3.1857399893546385,,2025-07-29 16:18:49.258731+00:00,100.0,3.1857399893546385,100.0,100.0,100.0,0.0,75.8,10,2025-07-29 16:18:49.258731+00:00,sp500
UPS,91.7899,101.58,-9.637822405985426,3284466.85,13532207.0,304256586.64975005,2.797853266820016,3.0202982315755555,,2025-07-29 16:18:49.258731+00:00,100.0,3.0202982315755555,100.0,100.0,100.0,0.0,75.76,11,2025-07-29 16:18:49.258731+00:00,sp500
MRK,81.355,84.06,-3.217939566975967,7588661.45,16856286.0,602547307.79145,2.376418094133919,2.992932197496151,,2025-07-29 16:18:49.258731+00:00,100.0,2.992932197496151,100.0,100.0,100.0,0.0,75.75,12,2025-07-29 16:18:49.258731+00:00,sp500
DOC,17.275,17.26,0.086906141367306,4578195.5,4781579.0,78401597.9375,0.5128287662010796,2.994620532561049,,2025-07-29 16:18:49.258731+00:00,100.0,2.994620532561049,100.0,100.0,100.0,0.0,75.75,13,2025-07-29 16:18:49.258731+00:00,sp500
UHS,161.4,154.95,4.162633107454028,634195.6,889218.0,100044419.31955999,5.1731193982452135,3.2793129121599374,,2025-07-29 16:18:49.258731+00:00,100.0,3.2793129121599374,100.0,99.15014556207389,100.0,0.0,75.73,14,2025-07-29 16:18:49.258731+00:00,sp500
CVS,60.68,59.64,1.7437961099932917,5148659.65,5425968.0,312549384.05325,1.7491633309886707,2.8814155851884866,,2025-07-29 16:18:49.258731+00:00,100.0,2.8814155851884866,100.0,100.0,100.0,0.0,75.72,15,2025-07-29 16:18:49.258731+00:00,sp500
BRO,92.22,102.58,-10.099434587638916,1931430.15,5013977.0,180144490.0905,2.6358114597973845,2.826001350699458,,2025-07-29 16:18:49.258731+00:00,100.0,2.826001350699458,100.0,100.0,100.0,0.0,75.71,16,2025-07-29 16:18:49.258731+00:00,sp500
RCL,333.06,352.0,-5.3806818181818175,1314885.6,3491012.0,430000463.34,9.316033934565748,2.848722248930739,,2025-07-29 16:18:49.258731+00:00,100.0,2.848722248930739,100.0,100.0,100.0,0.0,75.71,17,2025-07-29 16:18:49.258731+00:00,sp500
CBRE,158.91,146.56,8.42658296943231,915621.55,2206868.0,144585798.9605,4.363856615542333,2.763508717334135,,2025-07-29 16:18:49.258731+00:00,100.0,2.763508717334135,100.0,100.0,100.0,0.0,75.69,18,2025-07-29 16:18:49.258731+00:00,sp500
CSX,35.125,35.71,-1.638196583590033,14888789.55,22217544.0,525723159.0105001,0.9593227451041648,2.7168585247923103,,2025-07-29 16:18:49.258731+00:00,100.0,2.7168585247923103,100.0,100.0,100.0,0.0,75.68,19,2025-07-29 16:18:49.258731+00:00,sp500
UBER,87.2699,90.6,-3.675607064017646,10424677.7,15574716.0,907207576.8425,2.38406241432026,2.7395144088713126,,2025-07-29 16:18:49.258731+00:00,100.0,2.7395144088713126,100.0,100.0,100.0,0.0,75.68,20,2025-07-29 16:18:49.258731+00:00,sp500
NSC,276.4,286.42,-3.4983590531387603,1890164.8,5368690.0,529558021.19200003,7.564529949192704,2.7000267518043666,,2025-07-29 16:18:49.258731+00:00,100.0,2.7000267518043666,100.0,100.0,100.0,0.0,75.68,21,2025-07-29 16:18:49.258731+00:00,sp500
GLW,62.87,55.41,13.46327377729652,3108026.1,10421270.0,189744993.405,1.643111483240481,2.6914193009672087,,2025-07-29 16:18:49.258731+00:00,100.0,2.6914193009672087,100.0,100.0,100.0,0.0,75.67,22,2025-07-29 16:18:49.258731+00:00,sp500
WAB,193.54,197.01,-1.7613319120856805,729241.45,985750.0,143128219.3915,5.279248115142275,2.6897886152454653,,2025-07-29 16:18:49.258731+00:00,100.0,2.6897886152454653,100.0,99.89612043862799,100.0,0.0,75.66,23,2025-07-29 16:18:49.258731+00:00,sp500
KVUE,22.065,22.36,-1.3193202146690437,12730940.4,14959932.0,276516025.488,0.5650173652714301,2.601369085043417,,2025-07-29 16:18:49.258731+00:00,100.0,2.601369085043417,100.0,100.0,100.0,0.0,75.65,24,2025-07-29 16:18:49.258731+00:00,sp500
BKR,45.69,46.55,-1.8474758324382372,6108781.7,6289965.0,280179272.67050004,1.1669699795749382,2.5443583987243827,,2025-07-29 16:18:49.258731+00:00,100.0,2.5443583987243827,100.0,100.0,100.0,0.0,75.64,25,2025-07-29 16:18:49.258731+00:00,sp500
UNP,219.69,229.24,-4.165939626592222,3161389.35,9559872.0,713320085.98725,5.706062973674906,2.528890896215085,,2025-07-29 16:18:49.258731+00:00,100.0,2.528890896215085,100.0,100.0,100.0,0.0,75.63,26,2025-07-29 16:18:49.258731+00:00,sp500
BA,229.2701,236.41,-3.02013451207647,4678269.9,12271924.0,1080867477.696,5.862973187981117,2.537644212249445,,2025-07-29 16:18:49.258731+00:00,100.0,2.537644212249445,100.0,100.0,100.0,0.0,75.63,27,2025-07-29 16:18:49.258731+00:00,sp500
INCY,76.54,70.16,9.09350057012544,943342.9,2067252.0,70514881.775,1.8656678650173428,2.4958767424981176,,2025-07-29 16:18:49.258731+00:00,100.0,2.4958767424981176,100.0,100.0,100.0,0.0,75.62,28,2025-07-29 16:18:49.258731+00:00,sp500
AMT,217.73,224.21,-2.890147629454537,1156351.3,1723612.0,248852581.51650003,5.135215376914785,2.3861970571849094,,2025-07-29 16:18:49.258731+00:00,100.0,2.3861970571849094,100.0,100.0,100.0,0.0,75.6,29,2025-07-29 16:18:49.258731+00:00,sp500
JCI,103.53,111.52,-7.1646341463414585,2783691.3,4543872.0,292526705.58267,2.532344328331135,2.409785069482333,,2025-07-29 16:18:49.258731+00:00,100.0,2.409785069482333,100.0,100.0,100.0,0.0,75.6,30,2025-07-29 16:18:49.258731+00:00,sp500
SBUX,92.88,93.67,-0.8433863563574318,5218020.95,5352589.0,484545425.417,2.194477903446132,2.3632111818287016,,2025-07-29 16:18:49.258731+00:00,100.0,2.3632111818287016,100.0,100.0,100.0,0.0,75.59,31,2025-07-29 16:18:49.258731+00:00,sp500
CCL,29.335,29.73,-1.3286242852337693,11495332.3,12583217.0,340549219.38750005,0.6346033085406462,2.142120872711042,,2025-07-29 16:18:49.258731+00:00,100.0,2.142120872711042,100.0,100.0,100.0,0.0,75.54,32,2025-07-29 16:18:49.258731+00:00,sp500
SYY,78.83,80.35,-1.8917237087741086,1921368.0,3246841.0,148022190.72,1.6009708021562878,2.078103325748037,,2025-07-29 16:18:49.258731+00:00,100.0,2.078103325748037,100.0,100.0,100.0,0.0,75.52,33,2025-07-29 16:18:49.258731+00:00,sp500
CNP,38.105,37.3,2.1581769436997313,4007926.5,5284225.0,151880374.7175,0.7641924770313772,2.0166050324089646,,2025-07-29 16:18:49.258731+00:00,100.0,2.0166050324089646,100.0,100.0,100.0,0.0,75.5,34,2025-07-29 16:18:49.258731+00:00,sp500
AJG,297.0075,309.12,-3.9183812111801277,673683.25,802114.0,201599712.5625,6.395230831675184,2.1370863263743303,,2025-07-29 16:18:49.258731+00:00,100.0,2.1370863263743303,100.0,98.40394396610343,100.0,0.0,75.37,35,2025-07-29 16:18:49.258731+00:00,sp500
PANW,199.665,204.5,-2.3643031784841115,2992804.25,2868229.0,620587889.2800001,5.102334663094601,2.460616639223862,,2025-07-29 16:18:49.258731+00:00,95.83750758172707,2.460616639223862,100.0,100.0,100.0,0.0,73.95,36,2025-07-29 16:18:49.258731+00:00,sp500
JBL,228.15,224.79,1.494728413185646,795666.4,759544.0,184821369.724,5.927270902304196,2.551723487226552,,2025-07-29 16:18:49.258731+00:00,95.46010740179553,2.551723487226552,100.0,98.00922515283602,100.0,0.0,73.62,37,2025-07-29 16:18:49.258731+00:00,sp500
WDC,70.372,68.985,2.010582010582011,3706868.7,3453281.0,262483372.647,2.0177992336453685,2.8495964322064236,,2025-07-29 16:18:49.258731+00:00,93.1589780884335,2.8495964322064236,100.0,100.0,100.0,0.0,72.98,38,2025-07-29 16:18:49.258731+00:00,sp500
NCLH,23.465,23.88,-1.7378559463986567,8978618.55,8322232.0,213915586.95375,0.6537525441295032,2.743977100228765,,2025-07-29 16:18:49.258731+00:00,92.6894483116225,2.743977100228765,100.0,100.0,100.0,0.0,72.76,39,2025-07-29 16:18:49.258731+00:00,sp500
CMCSA,33.15,33.53,-1.1333134506412244,12021265.1,10976842.0,401690573.31649995,0.803596439247997,2.4048973193116776,,2025-07-29 16:18:49.258731+00:00,91.31187032885583,2.4048973193116776,100.0,100.0,100.0,0.0,72.13,40,2025-07-29 16:18:49.258731+00:00,sp500
STX,152.77,150.46,1.5352917718995096,2227485.75,2029276.0,343433752.935,3.978716989676509,2.58056621460404,,2025-07-29 16:18:49.258731+00:00,91.10163779947862,2.58056621460404,100.0,100.0,100.0,0.0,72.09,41,2025-07-29 16:18:49.258731+00:00,sp500
IP,54.76,55.5,-1.3333333333333368,2729583.95,2469082.0,152065121.85450003,1.1154850141053472,2.0023066130054694,,2025-07-29 16:18:49.258731+00:00,90.45634958397231,2.0023066130054694,100.0,100.0,100.0,0.0,71.68,42,2025-07-29 16:18:49.258731+00:00,sp500
CHTR,287.24,298.27,-3.697991752439057,1479563.35,1593032.0,434103886.89,18.362911015364826,6.25866087776579,,2025-07-29 16:18:49.258731+00:00,100.0,6.25866087776579,100.0,100.0,0.0,0.0,71.56,43,2025-07-29 16:18:49.258731+00:00,sp500
ANET,117.965,117.55,0.35304125903871225,5174953.45,4648595.0,614043416.5259601,2.633805150277923,2.219683280079964,,2025-07-29 16:18:49.258731+00:00,89.82873072993536,2.219683280079964,100.0,100.0,100.0,0.0,71.49,44,2025-07-29 16:18:49.258731+00:00,sp500
AVGO,296.6192,294.3,0.78803941556234,10590165.45,9503058.0,3165400453.0049996,7.010471841775786,2.3454238346523204,,2025-07-29 16:18:49.258731+00:00,89.73474536226439,2.3454238346523204,100.0,100.0,100.0,0.0,71.48,45,2025-07-29 16:18:49.258731+00:00,sp500
