ticker,price,previous_close,gap_percent,avg_daily_volume,premarket_volume,dollar_volume,atr,atr_percent,market_cap,fetch_time,pm_vol_ratio_score,atr_percent_score,dollar_vol_score,pm_vol_abs_score,price_atr_bonus,gap_magnitude_score,interest_score,rank,scan_time,ticker_list
PANW,182.81,204.5,-10.606356968215158,3330147.4736842103,1389049.0,645515786.2989473,6.1257597812088616,3.160214497115591,,2025-07-30 12:42:29.454173+00:00,41.711335938623364,3.160214497115591,100.0,100.0,100.0,0.0,52.47,1,2025-07-30 12:42:29.454173+00:00,sp500
STX,142.75,150.46,-5.12428552439187,2330599.6842105263,387084.0,355835959.7852632,4.25993336433502,2.7901056879322894,,2025-07-30 12:42:29.454173+00:00,16.60877252418928,2.7901056879322894,100.0,93.1301057036993,100.0,0.0,41.65,2,2025-07-30 12:42:29.454173+00:00,sp500
SBUX,98.0,93.67,4.6226112949717075,6143091.947368421,832936.0,571061827.4273684,2.246201972995245,2.4163102119139896,,2025-07-30 12:42:29.454173+00:00,13.558904980362751,2.4163102119139896,100.0,98.67686923939173,100.0,0.0,40.9,3,2025-07-30 12:42:29.454173+00:00,sp500
AMD,176.2493,173.66,1.4910169296326203,39734242.84210526,1235549.0,7050444049.903157,6.152749161159526,3.4675096715281364,,2025-07-30 12:42:29.454173+00:00,3.109532009732229,3.4675096715281364,100.0,100.0,100.0,0.0,37.11,4,2025-07-30 12:42:29.454173+00:00,sp500
SMCI,59.68,60.05,-0.6161532056619442,26483905.52631579,412805.0,1552751381.0078948,2.9249644000369397,4.98885280579386,,2025-07-30 12:42:29.454173+00:00,1.5587013765391038,4.98885280579386,100.0,93.59576668321793,100.0,0.0,36.23,5,2025-07-30 12:42:29.454173+00:00,sp500
TSLA,321.55,325.59,-1.240824349642177,65853550.368421055,611302.0,21152160378.33684,13.356434553486672,4.158292202206312,,2025-07-30 12:42:29.454173+00:00,0.9282749321487448,4.158292202206312,100.0,96.43760878528114,100.0,0.0,36.05,6,2025-07-30 12:42:29.454173+00:00,sp500
INTC,20.54,20.68,-0.6769825918762117,56876366.315789476,553396.0,1160846636.5052633,0.7698680456447284,3.772013942404353,,2025-07-30 12:42:29.454173+00:00,0.9729805820003159,3.772013942404353,100.0,95.7172800078928,100.0,0.0,35.9,7,2025-07-30 12:42:29.454173+00:00,sp500
NVDA,176.72,176.75,-0.016973125884017615,107531080.21052632,1830055.0,18872779887.749474,3.397888952239308,1.9360087472162886,,2025-07-30 12:42:29.454173+00:00,1.701884698281729,1.9360087472162886,100.0,100.0,0.0,0.0,31.16,8,2025-07-30 12:42:29.454173+00:00,sp500
AAPL,210.69,214.05,-1.5697266993693126,30829867.05263158,483209.0,6513426012.209474,2.5215931948273034,1.1935405854249554,,2025-07-30 12:42:29.454173+00:00,1.567340524612331,1.1935405854249554,100.0,94.73559855670938,0.0,0.0,30.4,9,2025-07-30 12:42:29.454173+00:00,sp500
