ticker,price,previous_close,gap_percent,avg_daily_volume,premarket_volume,dollar_volume,atr,atr_percent,market_cap,fetch_time,pm_vol_ratio_score,atr_percent_score,dollar_vol_score,pm_vol_abs_score,price_atr_bonus,gap_magnitude_score,interest_score,rank,scan_time,ticker_list
ALGN,143.23,205.81,-30.406685778144897,791339.5882352941,319473.0,161092999.97705883,5.224681211730179,2.566528079643454,,2025-07-31 12:29:34.370737+00:00,40.37116362552167,2.566528079643454,100.0,91.74059199013934,100.0,0.0,50.96,1,2025-07-31 12:29:34.370737+00:00,sp500
NCLH,25.98,23.41,10.978214438274243,10392186.470588235,1819690.0,243177163.41176468,0.6538930432491736,2.7944147147400584,,2025-07-31 12:29:34.370737+00:00,17.51017464082319,2.7944147147400584,100.0,100.0,100.0,0.0,42.7,2,2025-07-31 12:29:34.370737+00:00,sp500
CVS,67.0722,60.0,11.786999999999992,6612732.647058823,367345.0,411973243.9117647,1.8649942218251927,2.9935701794946916,,2025-07-31 12:29:34.370737+00:00,5.555116464044343,2.9935701794946916,100.0,92.75125525349497,100.0,0.0,37.25,3,2025-07-31 12:29:34.370737+00:00,sp500
CCL,30.55,29.7,2.861952861952867,13763410.705882354,585190.0,414829198.67529416,0.6950222593200512,2.305979626144828,,2025-07-31 12:29:34.370737+00:00,4.251780408978824,2.305979626144828,100.0,96.12162730386369,100.0,0.0,36.89,4,2025-07-31 12:29:34.370737+00:00,sp500
CMCSA,34.35,32.83,4.6299116661590105,16060629.352941176,595573.0,521970453.9705882,0.901080541626714,2.772555512697582,,2025-07-31 12:29:34.370737+00:00,3.7082793389471562,2.772555512697582,100.0,96.24892883683495,100.0,0.0,36.8,5,2025-07-31 12:29:34.370737+00:00,sp500
AMD,183.54,177.44,3.4377817853922426,45277748.5882353,851982.0,8127808649.074118,6.197846822993593,3.452647107678454,,2025-07-31 12:29:34.370737+00:00,1.881679249885172,3.452647107678454,100.0,98.84051548633369,100.0,0.0,36.5,6,2025-07-31 12:29:34.370737+00:00,sp500
TSLA,319.12,321.2,-0.6475716064757111,73877232.76470588,660889.0,23569792341.251766,13.417406338745632,4.205556149305927,,2025-07-31 12:29:34.370737+00:00,0.8945773620201611,4.205556149305927,100.0,97.00215300936831,100.0,0.0,36.11,7,2025-07-31 12:29:34.370737+00:00,sp500
INTC,20.19,20.41,-1.0779029887310085,64629610.88235294,670319.0,1314566285.3470588,0.7405563810132088,3.6408868289734944,,2025-07-31 12:29:34.370737+00:00,1.037170100281433,3.6408868289734944,100.0,97.10470295687685,100.0,0.0,36.04,8,2025-07-31 12:29:34.370737+00:00,sp500
PLTR,160.32,156.24,2.611367127496149,40644955.76470588,491055.0,6446696433.84,5.042538104801519,3.1792056647131446,,2025-07-31 12:29:34.370737+00:00,1.2081572996234098,3.1792056647131446,100.0,94.8521836977786,100.0,0.0,35.76,9,2025-07-31 12:29:34.370737+00:00,sp500
MU,113.9599,111.96,1.7862629510539578,17193578.529411763,307094.0,1972791200.4647057,2.853616223955207,2.487028258632741,,2025-07-31 12:29:34.370737+00:00,1.786097056378795,2.487028258632741,100.0,91.45454575814499,100.0,0.0,35.48,10,2025-07-31 12:29:34.370737+00:00,sp500
NVDA,183.31,175.51,4.444191214175837,119045262.88235295,4198255.0,21341244276.919415,3.4454288071288364,1.9219215747915637,,2025-07-31 12:29:34.370737+00:00,3.5266039977995143,1.9219215747915637,100.0,100.0,0.0,0.0,31.89,11,2025-07-31 12:29:34.370737+00:00,sp500
QCOM,150.5718,162.08,-7.1003208292201485,5918400.764705882,306555.0,941380825.6341177,3.0722779153728603,1.9315213852463602,,2025-07-31 12:29:34.370737+00:00,5.179693166913045,1.9315213852463602,100.0,91.44183034466379,0.0,0.0,31.7,12,2025-07-31 12:29:34.370737+00:00,sp500
SMCI,62.3,58.63,6.259594064472104,31256808.88235294,481784.0,1897600867.247647,3.083094549542536,5.078396556650529,,2025-07-31 12:29:34.370737+00:00,1.5413729591314966,5.078396556650529,100.0,94.71422124088383,0.0,0.0,31.36,13,2025-07-31 12:29:34.370737+00:00,sp500
AMZN,237.19,231.01,2.6752088654170847,26502091.588235293,769048.0,6100516462.695882,2.9225189166419367,1.2696115889664785,,2025-07-31 12:29:34.370737+00:00,2.9018388886007505,1.2696115889664785,100.0,98.09923352966963,0.0,0.0,31.29,14,2025-07-31 12:29:34.370737+00:00,sp500
AAPL,209.11,211.27,-1.0223884129313183,34794951.52941176,438563.0,7273884617.22353,2.9012485958736116,1.3878252073062,,2025-07-31 12:29:34.370737+00:00,1.2604213563260402,1.3878252073062,100.0,94.03388298787662,0.0,0.0,30.25,15,2025-07-31 12:29:34.370737+00:00,sp500
GOOGL,195.95,195.75,0.10217113665388948,31816650.23529412,325659.0,6252926270.742353,3.612439414031435,1.8381109316803719,,2025-07-31 12:29:34.370737+00:00,1.0235489832890936,1.8381109316803719,100.0,91.87940697566681,0.0,0.0,30.06,16,2025-07-31 12:29:34.370737+00:00,sp500
